gene_id	ERR279692	ERR279673	ERR279674	ERR279675	ERR279676	ERR279677	ERR279678	ERR279679	ERR279680	ERR279681	ERR279682	ERR279683	ERR279685	ERR279684	ERR279686	ERR279687	ERR279688	ERR279689	ERR279690	ERR279691
WBGene00292730	46.59	26.35	27.5	24.37	35.17	44.38	32.82	80.5	55.88	8.52	8.89	9.5	10.9	13.2	11.19	16.48	11.67	48.63	61.26	70.63
WBGene00292731	83.54	64.76	65.08	49.52	38.52	38.69	33.6	58.51	52.53	13.68	15.08	16.03	18.64	22.98	16.73	24.76	20.4	47.85	66.74	78.59
WBGene00292732	85.74	107.79	130.63	97.2	60.65	79.77	64.42	95.95	61.87	38.1	45.47	2.16	3.51	3.89	44.38	90.77	48.43	70.62	79.25	119.45
WBGene00292733	0	0	0	0	0	0	0	0.17	0.1	0	0	0	0	0	0	0	0	0	0.11	0
WBGene00292734	0	0	0	0	3.13	2.76	2.71	13.81	7.97	0	0	0	0	0	0	0	0	0.8	0.95	1.78
WBGene00292735	23.11	22.52	18.63	21.65	24.39	20.25	20.26	34.8	26.73	9.57	12.05	6.88	3.76	3.94	10.51	19.35	15.45	26.83	31.09	29.82
WBGene00292736	3.18	0.22	1.33	1.2	4.55	6.9	4.7	14.49	6.72	0.35	0.38	0.36	0.19	0	0.19	0.91	0.38	5.39	8.31	10.52
WBGene00292737	117.21	53.33	74.13	61.27	41.43	49.44	39.54	43.35	26.12	21.35	29.62	25.78	21.72	29.42	38.04	45.57	37.35	29.36	44.78	32.99
WBGene00292738	39.53	26.63	37.38	30.83	32.51	33.43	31.87	35.58	24.02	17.37	23.65	7.87	8.61	12.34	15.87	26.14	15.38	15.69	27.75	26.41
WBGene00292739	34.74	18.21	25.29	18.81	18.23	22.47	14.95	22.08	13.64	4.25	7	2.81	2.63	3.24	6.21	9.44	5.67	7.73	9.84	13.37
WBGene00292740	42.1	28.64	34.15	27.67	40.11	46.08	32.26	24.82	19.12	21.38	33.04	11.58	9.03	12.87	20.34	37.01	21.61	11.33	18.93	19.4
WBGene00292741	31.89	12.16	15.6	13.67	12.4	15.2	11.47	16.39	13.27	4.49	7.29	5.05	9.43	8.36	6.52	11.17	5.88	11.1	15.75	14.58
WBGene00292742	380.07	208.66	236.8	191.65	19.41	27.82	24.55	19.41	16.28	3.19	4.03	59.55	101.97	108.79	3.64	6.48	4.4	13.43	16.22	19.7
WBGene00292743	46.33	25.54	38.45	28.85	54.85	63.69	51.84	98.59	68.06	11.87	14.99	11.48	9.7	10.43	10.57	16.84	10.51	29.21	47.37	46.86
WBGene00292744	0	0	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00292745	803.06	505.84	799.02	560.6	382.69	468.81	346.95	456.05	315.77	101.88	130.94	90.52	92.93	110.98	88.51	147.19	108.48	156.37	220.1	263.64
WBGene00292746	2.4	0.53	0.71	0.72	2.47	1.45	0.6	0	0.17	1.81	2.76	0.14	0.07	0.15	2.77	3.38	1.45	0.11	0.09	0
WBGene00292747	1.64	0.6	0.81	0.33	0.48	0.2	0	0.97	0.68	0	0.11	0.99	0.51	0.4	0.11	0	0.31	0.43	0.51	0.48
WBGene00292748	73.7	29	42.44	40.95	31.3	38.49	24.54	45.21	28.36	13.45	20.31	12.87	13.89	13.85	14.74	27.04	14.88	26.28	33.52	33.94
WBGene00292749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0
